Obs_Yield_t_ha,HarvestDOY,RainYearly,RadiationYearly,TmaxYearly,TminYearly
5.25,211,700.6666667,4001.900333,14.20794521,5.509406393
6.13,207,678.4,3989.274,14.6935337,5.87859745
5.63,207,822.1666667,3926.759333,13.87789954,5.153424658
5.51,205,915.6666667,3892.229,14.4426484,5.635525114
4.02,201,486.2666667,4435.406,15.31762557,4.639452055
7.44,217,649,4076.303333,13.73642987,4.858834244
5.64,213,663.1,4125.361,13.86228311,4.591232877
6.15,215,656.9666667,4191.787,14.60858447,5.014885845
6.52,188,905,4239.024,14.91570776,5.211324201
5.36,208,725.2333333,4026.647667,14.72422587,4.99143898
6.15,214,763.4666667,4060.953667,14.32054795,4.489589041
5.84,212,864.2333333,3957.627333,12.90401826,3.580273973
6.37,209,656.5333333,4302.359667,15.33333333,4.725388128
6.1,207,654.0666667,4200.62,14.68397086,4.322040073
6.76,217,773.5333333,3857.352333,13.64630137,4.782465753
7.01,200,604.8666667,4038.892,15.79424658,5.648584475
6.85,205,518.9,4159.427333,15.80785388,5.320730594
6.88,199,671.1333333,3984.162333,14.79435337,5.030418944
6,206,757.3,4146.549,14.99808219,4.845388128
5.24,197,543.6,4553.434333,16.75680365,5.558721461
6.53,200,619.3,4372.667667,16.04347032,5.174155251
7.6,204,632.6333333,4402.133333,15.83415301,4.984517304
6.7,213,729.6666667,4123.426,14.36684932,4.459726027
5.6,180,621.9666667,4558.587667,17.47981735,5.568493151
6.4,214,692.1888889,4026.875,14.12033486,5.236438356
6.55,209,630.2666667,4021.602111,14.60944141,5.675986642
6.91,208,789.0333333,3991.285444,13.83436834,4.931019787
6.52,209,897.8111111,4010.345,14.30490107,5.412663623
5.61,201,462.5555556,4536.308111,15.30751903,4.483165906
8.36,219,647.0444444,4070.646444,13.73855495,4.512264724
6.42,216,677.1333333,4115.663,13.79150685,3.951689498
7.01,219,676.6444444,4208.032333,14.38286149,4.777716895
7.3,192,891.0555556,4219.922111,14.62170472,4.985601218
6.99,211,673.7555556,4021.691778,14.3822708,4.867759563
7.23,217,748.0888889,4051.122778,14.0947032,4.376468798
6.62,213,834.4111111,3952.618,12.65445967,3.544018265
6.67,210,619.9222222,4312.568333,15.16998478,4.74304414
5.75,208,632.9555556,4193.723667,14.44180328,4.368457802
7.71,218,755.3555556,3875.579222,13.47540335,4.78913242
7.8,201,644.5777778,4030.353667,15.40456621,5.661552511
7.26,207,478.7888889,4147.562444,15.43348554,5.223074581
7.41,203,633.5666667,3970.292667,14.39204614,4.944596236
7.4,209,733.9111111,4142.073556,14.54182648,4.839695586
6.9,199,544.0222222,4500.115333,16.27175038,5.520700152
7.07,205,588.2111111,4333.898444,15.59908676,5.041704718
7.51,206,571.8666667,4411.458222,15.64708561,5.021190043
7.14,214,768.7666667,4129.209,14.09171994,4.450563166
6.42,183,553.3444444,4555.717111,17.16593607,5.533059361
5.66,220,985.1666667,3965.476667,13.06511416,4.976894977
5.8,217,895.3833333,3938.955833,13.58469945,5.433242259
5.91,216,1169.266667,3892.277333,12.7496347,4.700182648
5.91,214,1234.35,3908.737,13.36388128,5.234657534
5.35,209,660.1666667,4458.400833,14.1630137,4.314931507
7.02,225,970.4166667,3986.869667,12.67285974,4.297996357
5.74,227,893.8,3998.146667,12.65054795,3.888858447
5.85,228,882.0666667,4063.667333,13.32296804,4.510502283
6.16,199,1104.666667,4157.617167,13.71315068,4.781643836
6.1,219,865.0333333,3964.065167,13.44257741,4.615892532
5.56,223,939.4333333,3986.248833,13.10511416,4.281826484
5.66,221,996.8,3846.179833,11.69726027,3.231232877
6.32,219,900.75,4202.225833,14.02255708,4.478127854
6.16,216,844.5,4116.024833,13.41876138,4.011520947
