States ,Districts,Year,Sim_Yield_t_ha,Obs_Yield_t_ha,SowingDOY,EmergenceDOY,AnthesisDOY,MilkripenessDOY,MaturityDOY,HarvestDOY,AGBiomass_t_ha,maxLAI,maxSeminal_RootDepth,RainGDD,RadiationGDD,TmaxGDD,TminGDD,RainYearly,RadiationYearly,TmaxYearly,TminYearly,TRANRF,NNI,PNI,KNI,NPKI,cropNuptake_kg_ha,cropPuptake_kg_ha,shoot_P_kg_ha,PLeaching,CumulatedSeepN,TotalUptakeP,ActualTranspiration,CumulativeActualTranspiration,ActualEvapotranspiration,PotentialEvapotranspiration,ReferenceEvapotranspiration,RootLengthDensityPerLayer_30,RootLengthDensityPerLayer_30-45,RootLengthDensityPerLayer_45-75,RootLengthDensityPerLayer_75-105,RootLengthDensityPerLayer_105-135,RootLengthDensityPerLayer_135-165,RootLengthDensityPerLayer_165-195,sSeminalRootLength_30,sSeminalRootLength_30-45,sSeminalRootLength_45-75,sSeminalRootLength_75-105,sSeminalRootLength_105-135,sSeminalRootLength_135-165,sSeminalRootLength_165-195,CumulatedMineralizedN_kg_ha,TotalSoilN,TotalSoilC_correct,NitrateLossSeepage
Baden-Württemberg,Breisgau-Hochschwarzwald,1999,9.662524839,6.17,301,310,146,193,212,212,16.44046536,4.965671975,1.41844273,1298.363636,4165.028,13.88784692,5.307384616,1304.990909,4090.610091,14.24515567,5.469863014,0.716125121,0.868852384,0.945207142,0.975955291,0.868852384,193.0170028,28.91651735,32.20581818,11.99288734,144.6094525,15.34880747,372.3326509,2182.820523,531.479955,671.4633069,713.4737812,1.054003413,0.534420442,0.274835769,0.099064462,0.007452899,0,0,480,300,447.575678,275.4125062,45.45454545,0,0,1434.202088,24631.56573,243289.0534,370.2250909
Baden-Württemberg,Breisgau-Hochschwarzwald,2000,8.2662866,6.54,301,306,138,187,205,205,13.24622474,3.651492306,1.420559585,1082.554545,4136.57,14.54059555,5.491080994,1036.118182,4276.497909,15.1044461,6.07431694,0.737525547,0.8392622,0.956386134,0.984776896,0.8392622,144.5119762,23.56289733,26.38863636,17.44190264,8.19694982,15.34880747,344.8456336,344.8456336,519.398902,659.7950306,716.4591457,0.733227325,0.40452715,0.219233066,0.085774174,0.006373496,0,0,480,300,450.2730919,274.8319476,45.45454545,0,0,163.7542015,25670.97018,257360.4415,82.03790909
Baden-Württemberg,Breisgau-Hochschwarzwald,2001,6.988571535,6.41,301,307,130,182,201,201,11.12239541,3.092354696,1.432192279,1214.709091,4100.848,14.63403291,6.030509255,1235.154545,4192.052364,14.10388543,5.453125778,0.719961023,0.856962369,0.920726862,0.982647955,0.856962369,127.9282599,18.44734769,21.06218182,51.94741661,22.375973,4.201024502,307.1983572,652.0439908,497.5472153,648.2194841,706.8384903,0.53386679,0.317638258,0.186387698,0.086852717,0.006645971,0,0,480,300,452.9785326,283.7592006,45.45454545,0,0,278.3671731,25651.14445,256041.207,141.7902727
Baden-Württemberg,Breisgau-Hochschwarzwald,2002,9.042579139,6.85,301,307,141,187,206,206,14.97971891,4.199348355,1.425061986,1071.1,4409.300455,14.66301123,5.487349792,1232,4175.890455,14.69945205,5.942366127,0.715202687,0.868317613,0.941250464,0.983745856,0.868317613,176.4375115,25.61880774,28.65554545,44.5091106,46.14239927,6.762905276,375.5177288,1027.56172,563.2043329,704.3571749,762.7941181,0.832070485,0.439277127,0.235208976,0.088525764,0.006480351,0,0,480,300,451.7509537,277.8564865,45.45454545,0,0,587.9721625,25476.59564,252483.0575,237.6640909
Baden-Württemberg,Breisgau-Hochschwarzwald,2003,8.036401938,4.72,301,307,135,178,193,193,13.09231242,3.780846278,1.415264456,996.1818182,4118.91,14.66411784,5.450704693,744.8454545,4668.903091,15.6562142,5.155940224,0.695488875,0.885708286,0.942386637,0.981147081,0.885708286,155.1169516,22.07640906,24.81818182,29.69008074,83.31017125,8.970546182,341.6188789,1369.180599,501.4155255,662.4384348,712.7876983,0.69473158,0.330914909,0.201120894,0.077426104,0.006106421,0,0,480,300,449.1812921,270.6286186,45.45454545,0,0,898.509265,25181.61482,248866.3116,371.6777273
Baden-Württemberg,Breisgau-Hochschwarzwald,2004,10.17976435,6.47,301,311,148,197,216,216,16.87559424,4.825157486,1.423746105,951.2909091,4802.363364,15.1185655,5.185645433,1010.736364,4105.046091,13.82272727,5.045454545,0.6920814,0.873457894,0.93162442,0.974055817,0.873457894,207.2487333,29.33057019,32.60036364,5.3280851,116.4540344,11.9036032,389.7750282,1758.955627,552.7334751,770.4476188,838.4315903,0.907313675,0.449725751,0.260942566,0.094262553,0.00697754,0,0,480,300,454.4774176,273.8141421,45.45454545,0,0,1257.613443,24874.53218,244937.2739,331.4386364
Baden-Württemberg,Breisgau-Hochschwarzwald,2005,10.37167519,6.25,301,307,149,194,213,213,17.43765764,5.336854329,1.41717448,965.0636364,4083.468909,13.80515144,5.125917924,865.2909091,4236.726,13.85828144,4.883636364,0.743679076,0.875028595,0.952037524,0.980960654,0.875028595,206.8527589,30.77112444,34.14736364,7.14662496,153.3266283,14.98071565,397.0935786,2156.049205,545.2761393,669.5582626,703.4765006,1.143770937,0.564901245,0.284997785,0.101150751,0.007614027,0,0,480,300,451.4255285,270.2944057,45.45454545,0,0,1540.102461,24533.09945,241948.1891,368.7259091
Baden-Württemberg,Breisgau-Hochschwarzwald,2006,9.570271557,6.66,301,306,158,200,218,218,15.80155322,4.15712181,1.412418713,940.4363636,4429.057727,13.74578604,4.732804503,1081.572727,4321.522727,14.54381071,5.286251557,0.74236176,0.848124349,0.974233638,0.985266093,0.848124349,161.7852806,28.47581115,31.51345455,13.27228298,7.567886026,14.98071565,392.8021539,392.8021539,557.5209507,711.371807,763.3278903,1.375055606,0.641052091,0.321975527,0.108817769,0.00780324,0,0,480,300,447.8896775,269.07449,45.45454545,0,0,190.759165,25655.35345,257063.4425,75.67881818
Baden-Württemberg,Breisgau-Hochschwarzwald,2007,7.210885209,6.28,301,309,120,171,190,190,10.82050748,2.781114276,1.414818743,1048.363636,3858.242636,15.47527286,5.843151659,1006.9,4356.063545,14.59447073,5.015691158,0.726937276,0.836553637,0.906581896,0.975390088,0.836553637,127.0721897,17.88681063,20.45309091,27.85002018,18.73039554,4.636262178,301.5275038,694.3296576,482.877458,613.542369,663.4787616,0.426443586,0.263083611,0.151678111,0.073832515,0.005955744,0,0,480,300,447.4867834,271.8774143,45.45454545,0,0,290.3803162,25658.61173,255915.3579,111.6250909
Baden-Württemberg,Breisgau-Hochschwarzwald,2008,8.648612845,7.19,301,315,150,195,215,215,15.25246096,4.290553583,1.41742198,999.4272727,4637.760636,14.39448038,4.850391686,977.7909091,4166.464273,14.07670144,4.65531545,0.674729986,0.852647734,0.946711378,0.96338375,0.852647734,175.1220874,27.30964309,30.38281818,43.14798147,42.6352346,7.367226487,367.9158831,1062.245541,565.5048242,726.3454882,783.014832,0.859014547,0.473677355,0.255267592,0.095036967,0.007068494,0,0,480,300,451.1099846,270.85745,45.45454545,0,0,579.5817933,25481.96,252592.2305,239.0484545
